iter	Passed	Remaining
0	56	56710
1	57	28447
2	57	19020
3	57	14304
4	57	11475
5	57	9597
6	58	8255
7	58	7244
8	58	6458
9	58	5829
10	59	5319
11	59	4899
12	59	4541
13	60	4235
14	60	3964
15	60	3729
16	60	3518
17	61	3331
18	61	3165
19	61	3014
20	61	2878
21	61	2754
22	62	2641
23	62	2537
24	62	2441
25	62	2351
26	62	2269
27	63	2195
28	63	2125
29	63	2062
30	63	1999
31	64	1941
32	64	1886
33	64	1835
34	64	1786
35	64	1740
36	65	1697
37	65	1655
38	65	1616
39	65	1579
40	66	1544
41	66	1511
42	66	1479
43	66	1449
44	66	1420
45	67	1394
46	67	1367
47	67	1341
48	67	1318
49	68	1294
50	68	1271
51	68	1249
52	68	1227
53	68	1208
54	69	1189
55	69	1170
56	69	1152
57	69	1134
58	70	1117
59	70	1101
60	70	1084
61	70	1069
62	70	1054
63	71	1039
64	71	1026
65	71	1012
66	71	1001
67	72	988
68	72	976
69	72	964
70	72	952
71	72	940
72	73	929
73	73	918
74	73	907
75	73	896
76	73	886
77	74	876
78	74	866
79	74	857
80	74	849
81	75	841
82	75	831
83	75	822
84	75	814
85	75	806
86	76	799
87	76	790
88	76	783
89	76	775
90	76	768
91	77	760
92	77	754
93	77	747
94	77	741
95	77	734
96	78	727
97	78	721
98	78	715
99	78	708
100	78	702
101	79	697
102	79	691
103	79	685
104	79	679
105	79	674
106	80	669
107	80	663
108	80	658
109	80	653
110	80	648
111	81	643
112	81	638
113	81	634
114	81	629
115	82	625
116	82	620
117	82	616
118	82	611
119	82	607
120	83	603
121	83	598
122	83	594
123	83	590
124	83	586
125	83	582
126	84	578
127	84	574
128	84	570
129	84	567
130	84	563
131	85	559
132	85	556
133	85	552
134	85	549
135	85	545
136	86	542
137	86	539
138	86	535
139	86	532
140	86	529
141	87	525
142	87	522
143	87	519
144	87	516
145	87	513
146	87	510
147	88	507
148	88	504
149	88	501
150	88	499
151	88	496
152	89	493
153	89	490
154	89	488
155	89	485
156	89	482
157	90	480
158	90	477
159	90	475
160	90	472
161	90	469
162	91	467
163	91	465
164	91	462
165	91	460
166	91	457
167	92	455
168	92	453
169	92	451
170	92	448
171	92	446
172	93	444
173	93	442
174	93	440
175	93	438
176	93	436
177	94	434
178	94	432
179	94	430
180	94	428
181	94	426
182	95	424
183	95	422
184	95	420
185	95	418
186	95	416
187	95	414
188	96	412
189	96	410
190	96	409
191	96	407
192	96	405
193	97	403
194	97	402
195	97	400
196	97	398
197	98	397
198	98	395
199	98	393
200	98	392
201	98	390
202	99	388
203	99	387
204	99	385
205	99	383
206	99	382
207	100	381
208	100	379
209	100	378
210	100	376
211	100	375
212	101	373
213	101	372
214	101	370
215	101	369
216	101	367
217	102	366
218	102	364
219	102	363
220	102	361
221	102	360
222	103	358
223	103	357
224	103	356
225	103	354
226	103	353
227	104	352
228	104	351
229	104	349
230	104	348
231	104	347
232	105	345
233	105	344
234	105	343
235	105	341
236	105	340
237	106	339
238	106	338
239	106	337
240	106	335
241	106	334
242	107	333
243	107	332
244	107	331
245	107	329
